Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/30/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.8928698,599.1270318,558.3816199,558.1830645,582.1744115,620.9372475,592.3087485,619.6783679,641.2465301,659.9816269,644.4398952,674.6802698,696.1141842,659.1810977,704.9207677,721.2489966,765.1871638,807.5161372,826.8134171,836.0110424,863.3202047,904.6104858,956.1173968,613.734676,629.0464251,661.8876249,693.3069097,725.9454195,
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20107.83069,20060.67282,20446.6282,21255.05357,22465.80305,23354.27219,23904.84893,25087.99726,26117.61173,27656.67692,29185.35506,30073.91281,30851.31148,32189.0616,33754.86956,36134.60224,38009.876,39441.96779,40277.61931,38791.07469,40027.24021,41565.27122,42145.09786,44101.47145,45519.79392,44647.36423,44819.4836,46704.89472,
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6886.016594,6457.636462,6505.257188,6764.089559,7197.836683,7781.768359,8289.598523,8683.554339,9081.571235,9380.179985,10010.87667,10788.41033,11597.99129,12338.94562,13461.22645,14288.68222,15883.16256,17711.30007,19612.57811,19612.9145,20713.83025,22133.66486,22945.94747,23958.53275,24965.05231,25871.88948,27098.69317,28991.95216,
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27609.04592,27915.66969,28226.59936,28600.11989,29344.79013,29900.40792,30535.45414,31797.87463,32891.72251,33814.07929,35748.87697,36808.63938,37718.30413,37710.7989,39184.01884,40572.26318,45112.27867,49737.76099,52584.73495,51759.75274,53119.38653,56183.83259,57849.58399,60108.51635,61902.16241,63648.28802,63881.67462,64712.1275,
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4507.114744,4947.36936,5621.10987,6123.751123,6578.460882,7366.063872,8028.911405,8655.296674,9009.317211,8995.18119,9571.978941,9994.170918,10343.22738,10858.80143,11831.31005,12774.73122,15773.82302,16971.76671,16551.30715,16226.20693,18265.34253,20437.70453,21620.28097,22578.72892,22978.1913,22785.81803,23476.4268,24634.97021,
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.5683762,1099.052228,1268.27162,1461.610346,1668.580642,1869.46632,2070.771609,2277.206851,2458.630661,2664.485031,2933.314817,3226.848456,3551.663652,3961.273893,4455.205022,5092.559837,5883.719377,6863.981755,7635.072611,8374.432271,9333.124237,10384.3666,11351.06206,12367.96501,13440.47746,14450.09499,15530.63427,16806.74186,
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.231664,2059.565221,2029.043053,2003.354584,1995.08861,2113.226157,2247.873782,2302.720142,2375.04656,2387.908452,2336.356921,2342.854996,2295.191399,2268.272292,2317.614362,2388.432195,2450.596778,2508.373899,2567.190743,2612.063869,2635.837771,2511.420195,2762.341426,2980.26506,3217.771022,3451.877418,3681.02565,3936.397609,
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.243722,1884.808704,1815.595266,1664.413432,1689.488753,1737.992873,1799.902923,1878.477688,1935.422721,1998.693492,2063.823523,2147.154828,2214.148948,2300.104376,2457.351516,2519.090011,2614.410426,2739.672885,2812.645055,2817.987654,2870.562687,2969.047575,3076.858139,3208.268326,3367.176974,3502.407887,3616.218635,3714.548416,
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.3545346,817.4872291,719.6490127,613.1156484,580.2260865,577.5162017,566.0549635,530.2663857,515.4334309,489.4253061,454.3115405,442.5173639,449.1765225,469.0582365,498.483441,528.9616984,556.0295114,587.0943981,615.2779121,616.8500519,646.8557934,682.4321554,719.8175461,767.4772397,827.3167664,865.0994627,868.2215432,887.2128626,
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3322.420799,3420.883123,3493.757136,3446.261338,3235.869097,3340.817519,3449.224934,3388.369355,3452.939885,3319.547701,3551.092649,3667.708329,3790.194842,3791.129803,3915.740808,4223.074355,4474.880108,4369.052287,4543.924889,4760.444498,5081.432145,5213.946921,5368.26569,5502.482873,5834.009762,5902.429651,5662.798091,5442.713712,
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4825.114339,4991.542001,5215.942776,5528.666054,5872.684834,6202.889407,6343.133222,6570.030955,6578.962426,6304.786104,6540.814386,6705.049528,6880.489518,7192.376678,7680.0456,8192.592836,8903.613824,9647.977325,10038.42498,10120.58796,10572.72333,11463.53505,12007.50925,12634.28171,13342.614,13760.2239,14085.24188,14472.6134,
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667.862771,1583.164219,1706.753216,1748.504382,1643.908179,1690.804897,1653.408753,1703.036492,1698.15579,1712.58605,1893.202635,1933.287377,1960.666939,1993.76013,2038.905373,2113.275958,2183.039926,2205.56822,2283.24012,2317.696415,2377.104151,2465.324918,2529.166095,2621.797793,2660.719923,2656.063865,2686.009584,2745.194507,
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.914065,1096.280989,1212.194964,1312.82756,1555.217002,1766.821713,1954.752575,2158.376948,2401.089992,2654.420379,3039.919351,3116.711016,3268.913606,3412.642078,3801.929908,4134.497584,4542.140553,5308.134172,5710.16342,5620.539317,5710.344252,5991.77849,6097.221554,6171.857988,6245.005482,6298.80377,6597.069117,6897.999986,
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5043.377666,5195.642148,5657.044646,6047.047003,6293.337777,6526.985361,6567.888692,6887.385241,7279.493434,7519.961411,7829.812936,8139.810083,8397.302512,8793.383171,9289.503317,9817.001218,10697.46356,11714.21474,12329.93006,12141.93498,12737.02018,13397.23054,14133.68818,14524.6715,15140.47037,15694.62533,16401.15678,17073.51875,
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6053.501601,6334.24481,6430.058501,6718.980874,6992.043471,7291.287156,7613.803181,7931.415323,8191.047519,8596.972992,9065.602807,9414.159335,9868.709711,10664.81201,11361.96724,12089.23589,13292.62754,14025.21897,14434.36486,13948.32928,14253.47461,14616.7587,14978.40161,15279.35696,15564.51297,15810.45965,15579.61675,15775.62325,
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27907.86617,,,,,,,
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49754.31769,49519.76943,48847.39404,48370.18292,48360.05305,48900.83388,49335.35172,52757.09748,55277.45512,56892.19334,56224.96618,51262.26858,49362.51798,50004.90187,50706.26651,51426.23217,53011.33786,54377.46544,56265.79327,58179.05084,
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13178.99547,13367.81103,14565.05769,14657.70948,15528.34226,16885.67593,17099.70212,17857.16486,18935.01498,19881.05514,21709.15509,23263.4339,23964.75544,24300.46323,26082.75964,28169.55688,30482.60764,32993.28227,34823.65424,33882.09647,33263.01583,33192.59298,31914.62435,30620.70715,30383.51482,31523.92688,32882.21862,34503.47033,
